Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Anglican_LR50_IPMCMC4-9-5,7.209426048872487e-2,6.458903883905107e-2,7.574534066375005e-2,8.876110004367123e-3,5.078058547248464e-3,1.3276447708371879e-2
Anglican_LR50_IPMCMC4-10-5,7.12173759632833e-2,6.519569856187264e-2,7.571726413253517e-2,8.670739231410231e-3,6.2411582368754395e-3,1.0893777545091346e-2
Anglican_HMM20_IPMCMC4-1-5,7.01564700500712e-2,6.398818251239047e-2,7.564442773596525e-2,9.754753134535533e-3,7.038956956884615e-3,1.114443765323006e-2
Anglican_HMM20_IPMCMC4-2-5,7.50436255694863e-2,7.261605344689558e-2,7.670490839642591e-2,3.6161962722113467e-3,2.51105710832554e-3,4.500937578367909e-3
Anglican_HMM20_IPMCMC4-3-5,7.49992934804656e-2,6.95796920695962e-2,7.710170143968335e-2,5.2325551597502025e-3,2.2848710574860376e-3,8.294116796730915e-3
Anglican_HMM20_IPMCMC4-4-5,6.731788599458838e-2,5.7388846040690965e-2,7.427239666968341e-2,1.419536840888874e-2,1.0985333265282294e-2,1.833182811228481e-2
Anglican_HMM20_IPMCMC4-5-5,7.580038027417943e-2,7.148132226782443e-2,7.738364049862652e-2,4.3768173650662835e-3,9.870434952712031e-4,7.137432998928646e-3
Anglican_HMM20_IPMCMC4-6-5,7.099827176712295e-2,6.23289736016142e-2,7.617897227272101e-2,1.1372364751929041e-2,7.408317042123932e-3,1.5942944873174682e-2
Anglican_HMM20_IPMCMC4-7-5,7.480012425151997e-2,7.208830972748695e-2,7.693426363190184e-2,4.070380936012472e-3,2.1084737914263516e-3,5.123493697730352e-3
Anglican_HMM20_IPMCMC4-8-5,7.354762372816726e-2,7.040924774397139e-2,7.62788443591448e-2,5.042816597235627e-3,3.6620690461310933e-3,6.076339598748297e-3
Anglican_HMM20_IPMCMC4-9-5,7.424272393429249e-2,6.749954177275053e-2,7.660958188922946e-2,6.68352213120001e-3,1.0379772934749974e-3,1.1202206925484038e-2
Anglican_HMM20_IPMCMC4-10-5,6.770073765356402e-2,5.9597561558623356e-2,7.363704420744943e-2,1.1194383516942562e-2,8.363172714328914e-3,1.5771276504583497e-2
Anglican_LDA10_IPMCMC4-1-5,7.062011116649522e-2,6.475924285248753e-2,7.480789896386283e-2,8.528439709096695e-3,6.5268100126069685e-3,1.0816599488777816e-2
Anglican_LDA10_IPMCMC4-2-5,7.666366476349479e-2,7.25131669842721e-2,7.930596308367716e-2,5.25689580497214e-3,2.6837715969486964e-3,8.78828773771299e-3
Anglican_LDA10_IPMCMC4-3-5,7.762833240045383e-2,7.636863264715676e-2,7.868822980308024e-2,1.911967657818783e-3,1.1578612073003464e-3,2.9850167587498226e-3
Anglican_LDA10_IPMCMC4-4-5,7.590602059100045e-2,7.276812305210784e-2,7.711710076335992e-2,3.1485887744428e-3,6.575689106651975e-4,5.018175160341582e-3
Anglican_LDA10_IPMCMC4-5-5,6.930989976143322e-2,5.9179612479809095e-2,7.551429011369024e-2,1.3353118514481548e-2,8.25994711662556e-3,1.7537909311416505e-2
Anglican_LDA10_IPMCMC4-6-5,7.628952015325546e-2,7.353799037047913e-2,7.845508153023462e-2,4.135526371437201e-3,2.332271915060485e-3,6.310833642243771e-3
Anglican_LDA10_IPMCMC4-7-5,7.426218779571328e-2,6.958759483299845e-2,7.69762985064593e-2,5.863038467169024e-3,1.440129491147365e-3,7.959543611955944e-3
Anglican_LDA10_IPMCMC4-8-5,7.441522747460194e-2,7.107762298149112e-2,7.693155458966915e-2,5.2420253060009294e-3,3.3872317250419055e-3,6.563908249798204e-3
Anglican_LDA10_IPMCMC4-9-5,7.033975564185464e-2,6.298836179450798e-2,7.53526732182698e-2,1.0233473680779698e-2,5.7934594215350394e-3,1.3093965716817915e-2
Anglican_LDA10_IPMCMC4-10-5,7.241551067315208e-2,6.585977047662898e-2,7.646918506569489e-2,8.827578440987567e-3,4.935768570012542e-3,1.1846969965692651e-2
